퍼블리싱,아티스트,Nation,Artist,Artist Native,음반,Album,규모,해외,트랙,음원,ver.,feat.,Track,Track Native,장르,속도,비트,전자,보컬,성별,행위,가사,종교,공간,시대,시간,스타일,명암,대중,음량,백엔드,빅데이터,행정,디자이너,,시간,청음,dB(R) 1.0,dB(R) 1.1,기획사,작곡,편곡,작사,실연,가사,음반 관리번호,음원 관리번호,비디오 관리번호,ISRC,UCI,바코드
2020-07-21,조항선,,Hang Sun Cho,,For by Grace,For by Grace,정규,FALSE,5,Day Break Waltz,,,Day Break Waltz,,재즈,3,3,1,1,-,-,-,-,2.5,현대,3,재즈,3,3,4,2,2,2,4,2,6:46,53.1,53.12,,블루쉬림프,조항선,조항선,,"이준삼, 최요셉, 조항선",,KEI-0004,KEI-0004-05,,KRMIM2020489,uci:i500-1000006525571.100051787142-1,8809990091126
2020-07-21,조항선,,Hang Sun Cho,,For by Grace,For by Grace,정규,FALSE,6,Forgetting Those Things ,,,Forgetting Those Things ,,재즈,3.5,4,1,1,-,-,-,-,2.5,현대,4,재즈,3,2,5,2,2,4,2,2,3:20,53.9,54.18,,블루쉬림프,조항선,조항선,,"이준삼, 최요셉, 조항선",,KEI-0004,KEI-0004-06,,KRMIM2020490,uci:i500-1000006525571.100051787143-1,8809990091126
2020-07-21,조항선,,Hang Sun Cho,,For by Grace,For by Grace,정규,FALSE,7,For by Grace,,,For by Grace,,재즈,1,2,1,1,-,-,-,-,2,현대,1.5,재즈,3,2.5,3.5,0,1,1,3,2,4:47,50.91,50.81,,블루쉬림프,조항선,조항선,,"이준삼, 최요셉, 조항선",,KEI-0004,KEI-0004-07,,KRMIM2020491,uci:i500-1000006525571.100051787144-1,8809990091126
2020-08-10,일공공,,100,,BACK,BACK,정규,FALSE,1,이제서야,,,Only Now (feat. Joycel),,발라드,2.5,3,3,4.5,혼합,노래,내향,-,3,현대,2,일반,3.5,4,4.5,0,2,0,1,2,4:27,57.95,57.82,,블루쉬림프,일공공,곽윤찬,최윤호,"조이슬, 이승용, 최요셉, 장태웅, 이동윤, 곽윤찬",,KEI-0005,KEI-0005-01,,KRMIM2020493,uci:i500-1000006525574.100051787207-1,8809990091133
2020-08-10,일공공,,100,,BACK,BACK,정규,FALSE,2,봄비,,,Spring Rain,,발라드,2,2,1.5,4,남,노래,내향,-,2,현대,2,일반,3.5,3.5,3.5,0,2,0,2,1,4:26,57.14,56.96,,블루쉬림프,일공공,"일공공, 곽윤찬",최윤호,"이승용, 최요셉, 장태웅, 이동윤, 곽윤찬",,KEI-0005,KEI-0005-02,,KRMIM2020494,uci:i500-1000006525574.100051787208-1,8809990091133
2020-08-10,일공공,,100,,BACK,BACK,정규,FALSE,3,사랑했어요,,,I Loved You (feat. Joycele),,발라드,2,3,2.5,4.5,여,노래,내향,-,3.5,현대,2.5,일반,3,4.5,4.5,0,0,2,1,4,4:09,58.08,57.88,,블루쉬림프,"일공공, 곽윤찬",곽윤찬,"일공공, 최윤호","(주)조이슬, 최요셉, 장태웅, 이동윤, 곽윤찬",,KEI-0005,KEI-0005-03,,KRMIM2020495,uci:i500-1000006525574.100051787209-1,8809990091133
2020-08-10,일공공,,100,,BACK,BACK,정규,FALSE,4,너만큼은 아파야겠어,,,You Should be Sick. (feat. Choi Yun-ho),,발라드,2.5,3,3.5,4,남,노래,내향,-,3,현대,3,일반,3.5,3.5,4,0,0,2,2,1,4:51,56.17,56.29,,블루쉬림프,일공공,곽윤찬,최윤호,"(주)최윤호, 최요셉, 장태웅, 이동윤, 곽윤찬",,KEI-0005,KEI-0005-04,,KRMIM2020496,uci:i500-1000006525574.100051787210-1,8809990091133
2020-08-10,일공공,,100,,BACK,BACK,정규,FALSE,5,어쩌면 너와 나,,,Maybe You and Me (feat. Jang Hee-young),,발라드,2.5,3.5,3,4.5,여,노래,내향,-,3.5,현대,2.5,일반,3,4,4.5,2,0,0,1,3,4:11,56.67,56.93,,블루쉬림프,"일공공, 곽윤찬",곽윤찬,장희영,"(주)장희영, 최요셉, 이동윤, 곽윤찬",,KEI-0005,KEI-0005-05,,KRMIM2020497,uci:i500-1000006525574.100051787211-1,8809990091133
2020-08-10,일공공,,100,,BACK,BACK,정규,FALSE,6,이별 고백 離別 告白,,,Confession of Parting,,발라드,1.5,1.5,2,4,남,노래,내향,-,2.5,현대,1.5,일반,3,3,3,2,0,0,2,1,3:12,55.78,55.85,,블루쉬림프,일공공,곽윤찬,일공공,"(주)이윤오, 최요셉, 장태웅, 이동윤, 곽윤찬",,KEI-0005,KEI-0005-06,,KRMIM2020498,uci:i500-1000006525574.100051787212-1,8809990091133
2020-08-10,일공공,,100,,BACK,BACK,정규,FALSE,7,어쩌면 너와 나,inst.,,Maybe You and Me (inst.),,발라드,2.5,3,3,1,-,-,-,-,3,현대,2.5,일반,3,3,4,0,0,2,1,3,4:11,54.8,54.61,,블루쉬림프,"일공공, 곽윤찬",곽윤찬,,"최요셉, 이동윤, 곽윤찬",,KEI-0005,KEI-0005-07,,KRMIM2020499,uci:i500-1000006525574.100051787213-1,8809990091133
